Date,Impressions,Clicks,Earning
2006/1/13,"139,237",37,227.21
2006/2/13,"149,582",55,234.71
2006/3/13,"457,425",132,211.48
2006/4/13,"466,870",141,298.4
2006/5/13,"472,385",194,281.35
2006/6/13,"438,653",153,273.21
2006/7/13,"423,614",155,283.66
2006/8/13,"112,449",62,223.89
2006/9/13,"126,651",50,297.97
2006/10/13,"453,405",135,291.16
2006/11/13,"461,418",140,209.42
2006/12/13,"436,383",135,258.28
2006/12/14,"424,476",143,242.72
2006/12/15,"314,817",103,283.95
2006/12/16,"120,120",50,278.57
2006/12/17,"138,803",46,196.92
2006/12/18,"448,633",108,287.78
2006/12/19,"436,350",135,197.08
2006/12/20,"418,489",149,213
2006/12/21,"323,947",121,212.35
2006/12/22,"323,037",88,237.25
2006/12/23,"138,339",55,141.93
2006/12/24,"143,570",60,153.19
2006/12/25,"328,277",145,217.84
2006/12/26,"426,393",142,198.54
2006/12/27,"496,995",160,155.2
